canonical_filename,sha256,file_size_bytes,directory
2009-01-14__MOCA__ACT__Legal_Metrology_Act_2009.pdf,f9d31f38f74c036ca4273ec35b8608e540c40f3cbc303807428f7996fa233839,249254,01_PRIMARY_ACTS
2010-02-15__MOCA__CORRIGENDUM__LM_Act_1st_Corrigendum.pdf,1a9f8f56804d400ebb29495c1b338e03eaa1cb2c81cdac0d0ef657d19ddb6363,2165024,01_PRIMARY_ACTS
2010-06-25__MOCA__CORRIGENDUM__LM_Act_2nd_Corrigendum.pdf,3a3776a03bd67bc1d6ffd04b3e47a25a3525d02b9f995c8815628d3c0f2aa4bb,2378107,01_PRIMARY_ACTS
2011-01-01__MOCA__NOTIFICATION__LM_Act_Commencement_Notification.pdf,b18b5722d26cd8a0671f553e9e0de903033e621959ddd19ccfa1e1d3e547171a,267628,04_OFFICIAL_NOTIFICATIONS
2011-01-31__MOCA__NOTIFICATION__LM_Act_Implementation_From_01_04_2011.pdf,b16b5cbd8be13bcd0a308bb217cb156b522248cb8f43ae2d4426b097421339de,375295,04_OFFICIAL_NOTIFICATIONS
2023-08-11__MOLJ__ACT__Jan_Vishwas_Act_2023.pdf,4deb23981d3010c8225a2ff6149e7243dc2268455b299e283afebdd7b72a7d15,182082,01_PRIMARY_ACTS
2023-11-07__MOCA__NOTIFICATION__Jan_Vishwas_2023_LM_Act_Enforcement.pdf,761ed065b8e4b2c44311bd56d1e3b04eb6b410dc105bcc5ce2efb34ad60059c4,1265911,04_OFFICIAL_NOTIFICATIONS
2026-02-13__MOCA__GAZETTE__Jan_Vishwas_Amendment_Provisions_Act_2026.pdf,d38327aac56a1dd06d44caed79eba8c328c82d981f9060edb6f8232176fb3ea6,1985125,01_PRIMARY_ACTS
2026-04-27__MOCA__NOTIFICATION__Jan_Vishwas_2026_LM_Act_Commencement.pdf,18039597ccc4521ee64d1235499bf3c9725c347a552f8743bf90e1d8ca4f39bb,496502,04_OFFICIAL_NOTIFICATIONS
2011-03-07__MOCA__RULES__Legal_Metrology_Packaged_Commodities_Rules_2011.pdf,48cd6acdb5475709631b741d71b2948d45713e7e8758ce531c19948a7e31f890,2392734,02_CURRENT_CONSOLIDATED_RULES
2011-06-23__MOCA__RULES__LMPC_1st_Amendment_2011.pdf,c7323a274b07fb765580b212676a26db87460328a2b17a81042ea89064dd0383,509666,03_PACKAGED_COMMODITIES_AMENDMENTS/2011
2011-09-09__MOCA__RULES__LMPC_2nd_Amendment_2011.pdf,6d18fe4066e71338f03d2bb9ed2a3faaf8f72de5be1cc41472039c93012bee16,397975,03_PACKAGED_COMMODITIES_AMENDMENTS/2011
2011-10-24__MOCA__RULES__LMPC_3rd_Amendment_2011.pdf,f3c7fb83b908062b15fad732fa8ec111fdb2a4cf675a24f6a5e3049218666f2a,2343190,03_PACKAGED_COMMODITIES_AMENDMENTS/2011
2011-11-15__MOCA__CORRIGENDUM__LMPC_3rd_Amendment_Corrigendum_2011.pdf,30f7fd7a227b912ba808127aa611651501334753a099df03b4b34780ed1cc0f6,398205,03_PACKAGED_COMMODITIES_AMENDMENTS/2011
2012-06-05__MOCA__RULES__LMPC_Amendment_2012.pdf,9af8f544d361f1c59986170656d8c68ef07c1e49b46d3bb6cbb35d705ba212dd,9128436,03_PACKAGED_COMMODITIES_AMENDMENTS/2012
2012-10-08__MOCA__RULES__LMPC_2nd_Amendment_2012.pdf,b40b37bb99c46f4594c65e81416aa4e3f9c020283549a4bc3f7d73ce2cb020fb,1789338,03_PACKAGED_COMMODITIES_AMENDMENTS/2012
2013-05-27__MOCA__RULES__LMPC_Amendment_2013.pdf,ab747b02a8f9984bd7103ac9978793ef948997a4b24ef010bae020f25cb73002,648352,03_PACKAGED_COMMODITIES_AMENDMENTS/2013
2014-06-06__MOCA__RULES__LMPC_1st_Amendment_2014.pdf,ac5a84eddcc8a2c44a691cbfb4b704d8452ad6e3860f82dfbc5cddf9eb62cdc3,382469,03_PACKAGED_COMMODITIES_AMENDMENTS/2014
2014-12-04__MOCA__RULES__LMPC_2nd_Amendment_2014.pdf,15cc007fcff301672e34cbb809fac2c96a24861fe86347ade38b13b76cf65db2,254797,03_PACKAGED_COMMODITIES_AMENDMENTS/2014
2015-05-14__MOCA__RULES__LMPC_1st_Amendment_2015.pdf,cd660e683148458112b782b284982ae181acadce3c6732d1c72a36f281c287fc,757439,03_PACKAGED_COMMODITIES_AMENDMENTS/2015
2016-09-07__MOCA__RULES__LMPC_Amendment_2016.pdf,f821dbe55907387c23a9bdedd20b64edec3c5c49a3f23ac41b86cb03b35c62ed,906960,03_PACKAGED_COMMODITIES_AMENDMENTS/2016
2017-06-23__MOCA__RULES__LMPC_Amendment_2017.pdf,eabd56ec42d156f9ad3f9e246dbf154a15e03320b29f4755fc9215d6e1137d28,1359398,03_PACKAGED_COMMODITIES_AMENDMENTS/2017
2017-10-06__MOCA__CORRIGENDUM__LMPC_Amendment_Corrigendum_2017.pdf,6ef9256a6296770c861cdeebf345339099227f990f67b8b02ae4dd50a9a5091b,1546031,03_PACKAGED_COMMODITIES_AMENDMENTS/2017
2021-11-02__MOCA__RULES__LMPC_Amendment_2021.pdf,2c4438340d2455a4fc7462ebe0d1dee8071073af5d77de0212bb090905be17d9,1421939,03_PACKAGED_COMMODITIES_AMENDMENTS/2021
2022-03-28__MOCA__RULES__LMPC_Amendment_2022.pdf,4d54d8e59d5e23c7133be0896f1fd7b01825e8df840e39156cf422dcec04f636,1163493,03_PACKAGED_COMMODITIES_AMENDMENTS/2022
2022-07-14__MOCA__RULES__LMPC_2nd_Amendment_QR_Code_2022.pdf,cb880c2c34bd57c32b7bb0d34da0c83abc53eb914a94e8208172359c5ea199ae,999521,03_PACKAGED_COMMODITIES_AMENDMENTS/2022
2022-08-22__MOCA__RULES__LMPC_3rd_Amendment_Garments_2022.pdf,15fc08f3139087a0a1e493a2ace5f1c640e132317363ef58591622ea26ddb50a,1054148,03_PACKAGED_COMMODITIES_AMENDMENTS/2022
2022-09-30__MOCA__RULES__LMPC_Amendment_Amendment_2022.pdf,4b5a8d7b286bdb6e51d6e438c64b30713d0eb0394ce7d290841e4eb5526ba951,834610,03_PACKAGED_COMMODITIES_AMENDMENTS/2022
2022-11-30__MOCA__RULES__LMPC_Amendment_2022.pdf,9e38ad5ea572261d813795526c6983885d1dac54560c48346389e5afcff63c03,715874,03_PACKAGED_COMMODITIES_AMENDMENTS/2022
2023-01-27__MOCA__RULES__LMPC_Amendment_Amendment_2023.pdf,a87c85772867760310ad169de804820ec058f3087dfdc681b79976e3103fd597,782794,03_PACKAGED_COMMODITIES_AMENDMENTS/2023
2023-03-24__MOCA__RULES__LMPC_Amendment_Amendment_2023.pdf,14be3ad1ebf218d0c30e2ea4075b16f72c8aecadcb06914f1374b10ba77ed833,1619405,03_PACKAGED_COMMODITIES_AMENDMENTS/2023
2023-06-05__MOCA__RULES__LMPC_Amendment_Extension_2023.pdf,397c4ddb1b228e4b6547b8f53c229ca4c3785bcf324ffe4222f54dc115f5fb70,883557,03_PACKAGED_COMMODITIES_AMENDMENTS/2023
2023-06-23__MOCA__RULES__LMPC_Amendment_QR_Code_2023.pdf,9907a586752b31fc374b4ebd6c30fe3c3cd38c313367adec7dc96b0548a5e6b6,1091815,03_PACKAGED_COMMODITIES_AMENDMENTS/2023
2023-06-28__MOCA__RULES__LMPC_Amendment_Extension_2023.pdf,8c3e04f8698509270bfecac47ebfbc20388e20eacb6e044a22ba9e96df18a37d,550122,03_PACKAGED_COMMODITIES_AMENDMENTS/2023
2023-08-30__MOCA__RULES__LMPC_Amendment_2023.pdf,d297b06f02ac0a3f608757a7932987e85960dbdf7722b399ae2b070bd969c5d3,472307,03_PACKAGED_COMMODITIES_AMENDMENTS/2023
2023-09-30__MOCA__RULES__LMPC_Amendment_Extension_2023.pdf,295e1be477f7773b2f0c76a6526b025488499222e28b7c255b0364b9366cc5d6,904888,03_PACKAGED_COMMODITIES_AMENDMENTS/2023
2023-10-06__MOCA__RULES__LMPC_Amendment_2023.pdf,c879c63b5b51e349c36a4e2a21837d0d7e5dfba11705256b83bcafd3c81325f5,1203549,03_PACKAGED_COMMODITIES_AMENDMENTS/2023
2025-10-24__MOCA__RULES__LMPC_Amendment_2025.pdf,39753ec4c00f95c35083453b16f2d2beb14a0ca04da68437aae30bedcfa1107c,1251662,03_PACKAGED_COMMODITIES_AMENDMENTS/2025
2025-12-02__MOCA__RULES__LMPC_2nd_Amendment_2025.pdf,167895c9fce5472ecfa843e93fac4a7dfd8b715f9f9a9c31c788bdd8df3ebc6e,549458,03_PACKAGED_COMMODITIES_AMENDMENTS/2025
2026-02-13__MOCA__RULES__LMPC_Amendment_2026.pdf,f33b364a475165c4cb6705333405b507fa6eac2b9c78ad5f14ad3d90617ee660,656329,03_PACKAGED_COMMODITIES_AMENDMENTS/2026
2026-04-27__MOCA__RULES__LMPC_2nd_Amendment_2026.pdf,33f197c759a5a57a071262db62214a2c11d5fce070b74708a79d36056b625e46,629077,03_PACKAGED_COMMODITIES_AMENDMENTS/2026
2026-05-29__MOCA__RULES__LMPC_3rd_Amendment_2026.pdf,643230e3b84eae6a3dfdd0417873ab9ba5687228cc724b08ac7d61a4b77dbefa,1244542,03_PACKAGED_COMMODITIES_AMENDMENTS/2026
