source_id,original_title,canonical_filename,authority,document_type,source_tier,discovery_page_url,official_download_url,resolved_url,publication_date,effective_date,notification_number,gazette_reference,explicit_rule_references,file_size_bytes,sha256,download_timestamp,directory,status,duplicate_of,notes
SRC-ACT-2009,"The Legal Metrology Act, 2009 (Act No. 1 of 2010)",2009-01-14__MOCA__ACT__Legal_Metrology_Act_2009.pdf,Ministry of Consumer Affairs / Ministry of Law and Justice,ACT,TIER_1_PRIMARY_GOVERNMENT,https://emaap.gov.in/act_rules,https://emaap.gov.in/files/actsandrule/uploads/legal-metrology-act.pdf,https://emaap.gov.in/files/actsandrule/uploads/legal-metrology-act.pdf,2010-01-14,2011-04-01,Act No. 1 of 2010,"Gazette of India, Extraordinary, Part II, Section 1",Sections 1 to 57,249254,f9d31f38f74c036ca4273ec35b8608e540c40f3cbc303807428f7996fa233839,2026-09-04T15:00:27.337961+00:00,01_PRIMARY_ACTS,DOWNLOADED,,Verified genuine official document. Page count: 18.
SRC-ACT-CORR-1,"1st Corrigendum in the Legal Metrology Act, 2009",2010-02-15__MOCA__CORRIGENDUM__LM_Act_1st_Corrigendum.pdf,Ministry of Consumer Affairs,CORRIGENDUM,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/1(i)_0_1732708062.pdf,https://consumeraffairs.gov.in/public/upload/files/1(i)_0_1732708062.pdf,2010-02-15,2010-02-15,Corrigendum Act 1 of 2010,Official Gazette,Act 1 of 2010 Textual Corrections,2165024,1a9f8f56804d400ebb29495c1b338e03eaa1cb2c81cdac0d0ef657d19ddb6363,2026-09-04T15:00:27.343784+00:00,01_PRIMARY_ACTS,DOWNLOADED,,Verified genuine official document. Page count: 3.
SRC-ACT-CORR-2,"2nd Corrigendum in the Legal Metrology Act, 2009",2010-06-25__MOCA__CORRIGENDUM__LM_Act_2nd_Corrigendum.pdf,Ministry of Consumer Affairs,CORRIGENDUM,TIER_1_PRIMARY_GOVERNMENT,https://emaap.gov.in/act_rules,https://emaap.gov.in/files/actsandrule/uploads/70f8b52a-effb-467d-9102-0942f6f3b691.pdf,https://emaap.gov.in/files/actsandrule/uploads/70f8b52a-effb-467d-9102-0942f6f3b691.pdf,2010-06-25,2010-06-25,Corrigendum 2 Act 1 of 2010,Official Gazette,Act 1 of 2010 Textual Corrections,2378107,3a3776a03bd67bc1d6ffd04b3e47a25a3525d02b9f995c8815628d3c0f2aa4bb,2026-09-04T15:00:27.350347+00:00,01_PRIMARY_ACTS,DOWNLOADED,,Verified genuine official document. Page count: 3.
SRC-NOTIF-2011-01-01,"Notification dated January 1, 2011 bringing into force sections of Legal Metrology Act, 2009",2011-01-01__MOCA__NOTIFICATION__LM_Act_Commencement_Notification.pdf,Ministry of Consumer Affairs,NOTIFICATION,TIER_1_PRIMARY_GOVERNMENT,https://emaap.gov.in/act_rules,https://emaap.gov.in/files/actsandrule/uploads/638bc622-a5b9-4c00-9555-b45a9d52e3d8.pdf,https://emaap.gov.in/files/actsandrule/uploads/638bc622-a5b9-4c00-9555-b45a9d52e3d8.pdf,2011-01-01,2011-03-01,S.O. 9(E),"Gazette of India, Extraordinary","Sections 1(3) Legal Metrology Act, 2009",267628,b18b5722d26cd8a0671f553e9e0de903033e621959ddd19ccfa1e1d3e547171a,2026-09-04T15:00:27.352794+00:00,04_OFFICIAL_NOTIFICATIONS,DOWNLOADED,,Verified genuine official document. Page count: 1.
SRC-NOTIF-2011-01-31,"Notification dated January 31, 2011 - Implementation w.e.f. 01.04.2011",2011-01-31__MOCA__NOTIFICATION__LM_Act_Implementation_From_01_04_2011.pdf,Ministry of Consumer Affairs,NOTIFICATION,TIER_1_PRIMARY_GOVERNMENT,https://emaap.gov.in/act_rules,https://emaap.gov.in/files/actsandrule/uploads/fb5da437-ed43-4823-9124-4cb775734f52.pdf,https://emaap.gov.in/files/actsandrule/uploads/fb5da437-ed43-4823-9124-4cb775734f52.pdf,2011-01-31,2011-04-01,S.O. 248(E),"Gazette of India, Extraordinary","Section 1(3) Legal Metrology Act, 2009",375295,b16b5cbd8be13bcd0a308bb217cb156b522248cb8f43ae2d4426b097421339de,2026-09-04T15:00:27.355076+00:00,04_OFFICIAL_NOTIFICATIONS,DOWNLOADED,,Verified genuine official document. Page count: 1.
SRC-REAL-JV-2023,"The Jan Vishwas (Amendment of Provisions) Act, 2023",2023-08-11__MOLJ__ACT__Jan_Vishwas_Act_2023.pdf,Ministry of Law and Justice,ACT_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,"https://consumeraffairs.gov.in/public/upload/files/Jan%20Vishwas%20(Amendment%20of%20Provisions)%20Act,%202023%20(18%20of%202023)_1732708241.pdf","https://consumeraffairs.gov.in/public/upload/files/Jan%20Vishwas%20(Amendment%20of%20Provisions)%20Act,%202023%20(18%20of%202023)_1732708241.pdf",2023-08-11,2023-11-07,Act No. 18 of 2023,"Gazette of India, Extraordinary, Part II, Section 1","Schedule Sl. No. 34: Legal Metrology Act 2009 Sections 48, 49, 52, 53",182082,4deb23981d3010c8225a2ff6149e7243dc2268455b299e283afebdd7b72a7d15,2026-09-04T15:00:27.389622+00:00,01_PRIMARY_ACTS,DOWNLOADED,,Verified genuine official document. Page count: 21.
SRC-NOTIF-JV-2023,"Notification for enforcement of provisions of Legal Metrology Act under Jan Vishwas Act, 2023",2023-11-07__MOCA__NOTIFICATION__Jan_Vishwas_2023_LM_Act_Enforcement.pdf,Ministry of Consumer Affairs,NOTIFICATION,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,"https://consumeraffairs.gov.in/public/upload/files/Notification%20for%20enforcement%20of%20provisions%20of%20LM%20ACt%20under%20the%20Jas%20Vishwas%20Act,%202023_1732708333.pdf","https://consumeraffairs.gov.in/public/upload/files/Notification%20for%20enforcement%20of%20provisions%20of%20LM%20ACt%20under%20the%20Jas%20Vishwas%20Act,%202023_1732708333.pdf",2023-11-07,2023-11-07,S.O. 4835(E),"Gazette of India, Extraordinary",Legal Metrology Act 2009 Decriminalisation Provisions,1265911,761ed065b8e4b2c44311bd56d1e3b04eb6b410dc105bcc5ce2efb34ad60059c4,2026-09-04T15:00:27.641800+00:00,04_OFFICIAL_NOTIFICATIONS,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-REAL-JV-2026,"The Jan Vishwas (Amendment of Provisions) Act, 2026",2026-02-13__MOCA__GAZETTE__Jan_Vishwas_Amendment_Provisions_Act_2026.pdf,Ministry of Law and Justice,ACT_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/2026.4.8%20Jan%20Vishwas%20Act%202026_1777014384.pdf,https://consumeraffairs.gov.in/public/upload/files/2026.4.8%20Jan%20Vishwas%20Act%202026_1777014384.pdf,2026-02-13,2026-04-27,Gazette Notification 2026,"Gazette of India, Extraordinary",Legal Metrology Act 2009 Amendments,1985125,d38327aac56a1dd06d44caed79eba8c328c82d981f9060edb6f8232176fb3ea6,2026-09-04T15:00:27.805029+00:00,01_PRIMARY_ACTS,DOWNLOADED,,Verified genuine official document. Page count: 186.
SRC-NOTIF-JV-2026,Notification of Jan Vishwas Act 2026 for Legal Metrology Act dated 27.04.2026,2026-04-27__MOCA__NOTIFICATION__Jan_Vishwas_2026_LM_Act_Commencement.pdf,Ministry of Consumer Affairs,NOTIFICATION,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/2026.4.27%20JV%20Act%202026%20for%20LM%20Act_1777348318.pdf,https://consumeraffairs.gov.in/public/upload/files/2026.4.27%20JV%20Act%202026%20for%20LM%20Act_1777348318.pdf,2026-04-27,2026-04-27,S.O. Notification 27.04.2026,"Gazette of India, Extraordinary",Legal Metrology Act 2009 Provisions,496502,18039597ccc4521ee64d1235499bf3c9725c347a552f8743bf90e1d8ca4f39bb,2026-09-04T15:00:28.041381+00:00,04_OFFICIAL_NOTIFICATIONS,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-REAL-RULES-2011,"The Legal Metrology (Packaged Commodities) Rules, 2011 (Consolidated Reference Edition)",2011-03-07__MOCA__RULES__Legal_Metrology_Packaged_Commodities_Rules_2011.pdf,Ministry of Consumer Affairs,RULES,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8_1732871406.pdf,https://consumeraffairs.gov.in/public/upload/files/8_1732871406.pdf,2011-03-07,2011-04-01,G.S.R. 202(E),"Gazette of India, Extraordinary, Part II, Section 3, Sub-section (i)","Rules 1 to 34, Schedules I to VIII",2392734,48cd6acdb5475709631b741d71b2948d45713e7e8758ce531c19948a7e31f890,2026-09-04T15:00:28.063083+00:00,02_CURRENT_CONSOLIDATED_RULES,DOWNLOADED,,Verified genuine official document. Page count: 83.
